time,p1,p2,p3,v1,v2,v3,r11,r12,r13,r11,r12,r13,r11,r12,r13,omega1,omega2,omega3,
9.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.337478,0.932711,0.127115,-0.941103,-0.337291,-0.023654,0.020812,-0.127611,0.991606,0.332116,-0.022346,1.036029,
9.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.238269,0.962484,0.129820,-0.971139,-0.234629,-0.042875,-0.010807,-0.136289,0.990610,0.328440,-0.007533,1.037662,
9.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.136321,0.981312,0.135803,-0.989763,-0.129064,-0.060926,-0.042260,-0.142718,0.988861,0.321931,0.005915,1.039967,
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032842,0.988926,0.144733,-0.996777,-0.021803,-0.077207,-0.073196,-0.146802,0.986454,0.312948,0.017489,1.042820,
10.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070950,0.985177,0.156178,-0.992119,0.085909,-0.091208,-0.103273,-0.148477,0.983509,0.301929,0.026770,1.046084,
10.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.173837,0.970055,0.169629,-0.975867,0.192805,-0.102521,-0.132157,-0.147713,0.980161,0.289377,0.033444,1.049609,
10.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.274619,0.943683,0.184516,-0.948227,0.297617,-0.110858,-0.159530,-0.144519,0.976557,0.275834,0.037306,1.053239,
10.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.372126,0.906326,0.200236,-0.909540,0.399085,-0.116051,-0.185091,-0.138937,0.972850,0.261863,0.038271,1.056823,
10.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.465229,0.858387,0.216178,-0.860270,0.495982,-0.118060,-0.208562,-0.131046,0.969190,0.248023,0.036367,1.060214,
10.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.552853,0.800405,0.231743,-0.800998,0.587129,-0.116967,-0.229684,-0.120960,0.965719,0.234850,0.031733,1.063278,
10.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.633989,0.733048,0.246370,-0.732421,0.671414,-0.112971,-0.248229,-0.108824,0.962569,0.222833,0.024608,1.065900,
10.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.707702,0.657107,0.259555,-0.655336,0.747810,-0.106371,-0.263995,-0.094817,0.959852,0.212401,0.015321,1.067984,
10.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.773142,0.573481,0.270870,-0.570637,0.815387,-0.097557,-0.276811,-0.079143,0.957660,0.203906,0.004272,1.069459,
11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.829557,0.483168,0.279972,-0.479304,0.873328,-0.086988,-0.286537,-0.062030,0.956059,0.197614,-0.008084,1.070282,
11.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.876292,0.387248,0.286620,-0.382391,0.920938,-0.075172,-0.293069,-0.043728,0.955091,0.193694,-0.021257,1.070434,
11.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.912806,0.286869,0.290675,-0.281016,0.957656,-0.062645,-0.296337,-0.024502,0.954769,0.192220,-0.034744,1.069924,
11.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.938671,0.183229,0.292103,-0.176350,0.983059,-0.049948,-0.296307,-0.004628,0.955082,0.193169,-0.048048,1.068786,
11.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.953582,0.077559,0.290975,-0.069604,0.996866,-0.037607,-0.292980,0.015609,0.955991,0.196424,-0.060694,1.067078,
11.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.957358,-0.028892,0.287455,0.037988,0.998937,-0.026114,-0.286395,0.035921,0.957438,0.201785,-0.072254,1.064877,
11.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.949948,-0.134872,0.281794,0.145175,0.989278,-0.015908,-0.276627,0.056021,0.959343,0.208979,-0.082354,1.062278,
11.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.931429,-0.239146,0.274316,0.250712,0.968034,-0.007358,-0.263788,0.075628,0.961611,0.217673,-0.090691,1.059385,
11.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.902007,-0.340507,0.265401,0.353367,0.935484,-0.000757,-0.248021,0.094467,0.964138,0.227489,-0.097041,1.056312,
11.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.862019,-0.437789,0.255470,0.451942,0.892040,0.003691,-0.229505,0.112275,0.966810,0.238020,-0.101263,1.053175,
12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.811922,-0.529881,0.244966,0.545280,0.838233,0.005874,-0.208451,0.128806,0.969514,0.248849,-0.103304,1.050088,
12.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.752298,-0.615739,0.234338,0.632287,0.774713,0.005770,-0.185097,0.143828,0.972138,0.259564,-0.103195,1.047159,
12.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.683838,-0.694392,0.224021,0.711939,0.702232,0.003449,-0.159710,0.157131,0.974578,0.269771,-0.101049,1.044487,
12.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.607343,-0.764956,0.214421,0.783299,0.621644,-0.000937,-0.132577,0.168525,0.976741,0.279115,-0.097051,1.042156,
12.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.523707,-0.826641,0.205902,0.845525,0.533887,-0.007161,-0.104008,0.177846,0.978546,0.287285,-0.091449,1.040234,
12.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433911,-0.878756,0.198771,0.897885,0.439978,-0.014935,-0.074330,0.184954,0.979932,0.294027,-0.084542,1.038773,
12.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.339008,-0.920717,0.193270,0.939760,0.340998,-0.023921,-0.043880,0.189737,0.980854,0.299154,-0.076668,1.037803,
12.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240115,-0.952054,0.189572,0.970657,0.238087,-0.033747,-0.013006,0.192112,0.981287,0.302547,-0.068187,1.037335,
12.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.138394,-0.972414,0.187770,0.990215,0.132427,-0.044020,0.017940,0.192025,0.981226,0.304158,-0.059468,1.037360,
12.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035040,-0.981566,0.187884,0.998203,0.025231,-0.054348,0.048606,0.189451,0.980686,0.304008,-0.050875,1.037853,
13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068731,-0.979403,0.189858,0.994531,-0.082267,-0.064349,0.078643,0.184397,0.979700,0.302187,-0.042752,1.038768,
13.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.171702,-0.965945,0.193569,0.979243,-0.188828,-0.073667,0.107710,0.176902,0.978317,0.298844,-0.035412,1.040049,
13.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.272665,-0.941340,0.198829,0.952523,-0.293221,-0.081985,0.135477,0.167034,0.976599,0.294181,-0.029123,1.041625,
13.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.370437,-0.905863,0.205399,0.914687,-0.394234,-0.089037,0.161631,0.154893,0.974620,0.288444,-0.024105,1.043419,
13.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.463875,-0.859913,0.213001,0.866181,-0.490692,-0.094614,0.185877,0.140608,0.972460,0.281909,-0.020519,1.045345,
13.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.551886,-0.804013,0.221323,0.807577,-0.581466,-0.098569,0.207943,0.124337,0.970206,0.274874,-0.018464,1.047318,
13.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.633445,-0.738802,0.230042,0.739563,-0.665493,-0.100826,0.227582,0.106263,0.967944,0.267644,-0.017976,1.049255,
13.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.707601,-0.665028,0.238829,0.662936,-0.741781,-0.101374,0.244575,0.086596,0.965756,0.260520,-0.019030,1.051075,
